"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Reckoning Night",2.58,7.7,7.8,12.4,0,5,5,0,0,40,2,7,10,2,2,58,133.52,2099.3
"KismyS",2.94,3.20,6.80,16.80,0,0,0,0,10,60,47,2,19,1,4,57,59.55,2117.1
"iamjordaddy",2.77,8.90,6.50,9.10,0,1,3,6,0,50,4,15,18,0,5,52,57.63,2109.8
"ToqsiK",3.45,5.90,4.20,8.60,5,0,0,5,0,10,16,6,10,2,2,52,231.10,2147.4
"7 Cities",2.51,4.20,5.70,10.10,5,0,0,5,0,80,11,22,20,4,5,48,58.82,1887.4
"LoLoYo",1.82,6.80,7.30,6.50,0,5,3,1,1,30,0,10,19,1,4,44,84.75,2091.9
"frolicky72",3.16,9.50,5.50,7.90,1,3,0,6,0,40,1,12,17,4,6,61,99.15,2120.1
"hystrinn",2.06,2.00,5.00,8.30,0,0,1,5,4,40,17,7,11,3,0,46,69.35,1942.1
"littlefatsome",2.13,4.00,5.30,7.30,3,5,0,1,1,40,3,12,12,3,2,41,75.10,1949
"SurvivorD",2.06,2.80,6.30,10.20,2,1,0,1,6,40,6,2,16,1,1,47,98.17,2053
"PuffyRice",3.31,1.80,5.40,16.10,0,0,0,0,10,30,1,3,17,1,2,62,117.23,2337.3
"Drunk Tank",5.13,7.00,3.20,9.40,0,0,10,0,0,50,5,10,14,0,2,67,43.13,1863.6
"D1 ZC",1.49,3.30,5.50,4.90,0,7,1,2,0,40,0,6,11,2,1,46,53.50,1491.2
"DASH ABSOLUCASLY",1.42,2.70,6.60,6.70,0,6,0,3,1,20,7,0,14,0,1,42,41.40,1814.8
"CaraMojada",4.03,3.70,3.50,10.40,4,0,6,0,0,40,31,10,19,3,3,54,232.47,1966
"Akú",4.70,6.80,2.70,5.90,0,0,1,9,0,70,4,28,14,2,1,54,30.57,1793.5
"Mister Pugglez",2.02,6.30,6.40,6.60,3,0,3,4,0,40,1,15,18,2,5,45,40.72,2192.1
"Cotton Kandee",2.22,1.30,4.50,8.70,5,0,1,0,4,30,17,2,14,3,4,46,124.87,2055.4
"Samster25",2.20,6.70,7.50,9.80,1,1,6,1,1,60,3,4,23,1,4,50,54.58,2194.7
"Annie Hathaway",3.10,2.70,3.90,9.40,0,6,0,0,4,80,4,7,20,5,7,50,81.25,1767.2
"Likasumboooty",1.73,5.40,7.70,7.90,0,5,0,5,0,10,0,5,9,1,0,45,78.50,2055
"lego my ekk0",2.42,7.20,6.20,7.80,5,1,4,0,0,40,1,18,7,2,3,57,36.25,1760.1
"Evbot",3.74,6.00,4.30,10.10,0,2,6,0,2,50,1,14,14,5,4,59,66.20,1948.4
"dino suar",2.62,3.30,5.20,10.30,5,2,0,1,2,40,13,5,15,1,5,50,76.72,1877.6
"bk kids club",2.92,0.90,1.30,2.90,1,0,1,0,1,33,3,0,5,0,1,48,2.88,2129.3333333333335
"KillerXrelliK",2.13,2.30,5.40,9.20,1,2,1,1,5,70,20,5,20,4,3,44,62.85,1873.1
"Meek MiIl",3.65,7.60,4.60,9.20,5,4,0,1,0,70,7,9,17,2,5,49,291.23,1959.4
"Logical Syntax",0.94,3.70,8.60,4.40,0,1,1,7,1,20,0,7,11,1,1,36,24.60,1816.3
"Lutang",3.72,8.80,4.30,7.20,0,0,0,10,0,60,11,17,10,2,4,56,52.92,1994.7
"ItchyBadger",1.61,4.60,6.90,6.50,4,5,1,0,0,40,8,6,8,2,3,49,62.12,1840.5
"HI Limitless",2.71,5.50,4.80,7.50,0,8,0,2,0,50,12,6,12,2,1,44,85.48,1991.6
"LoliAshe",3.20,5.00,4.10,8.10,4,0,0,6,0,40,3,13,16,0,6,47,97.80,2109.1
"FYL Jacky",4.30,7.60,4.00,9.60,7,0,1,0,2,80,12,14,23,4,7,62,106.93,1936.8
"faivre",2.08,2.60,6.30,10.50,0,1,1,4,4,50,20,7,19,2,3,47,53.03,1898.2
"Artorias and Sif",2.42,3.80,5.50,9.50,0,0,2,3,5,70,18,8,23,1,8,50,75.13,1889.4
"MoonTickles",2.09,3.50,4.40,5.70,0,2,4,4,0,30,22,1,10,0,1,42,62.07,1766.6
"Spamdinie",1.74,6.60,8.20,7.70,3,7,0,0,0,40,7,10,17,3,5,50,103.57,2140.1
"Hybernian",3.40,5.90,4.70,10.10,0,2,4,3,1,70,0,16,23,1,2,57,80.25,1938.8
"Kadeo18",1.73,4.60,6.20,6.10,3,5,2,0,0,10,5,2,13,3,1,58,68.93,1905.5
"6695",4.47,10.10,4.30,9.10,2,0,8,0,0,50,9,8,24,3,9,58,78.78,2197
"Indukti",1.71,3.30,5.60,6.30,5,1,2,1,1,20,7,6,10,3,4,40,141.55,2018.8
"iDislikeYou2",2.09,3.40,5.60,8.30,1,2,5,1,1,40,21,9,14,4,1,43,115.25,2100.6
"Kadok",1.72,4.70,5.40,4.60,0,7,0,1,2,50,34,4,17,7,3,44,98.77,1747.4
"TTTTika",2.55,1.90,4.20,8.80,0,0,4,0,6,50,8,7,16,2,6,39,84.38,1913.1
"ComeBackCat",1.58,4.90,7.30,6.60,7,1,2,0,0,20,3,8,15,2,3,46,48.22,2179.1
"Swaag Champ",3.02,7.80,5.70,9.40,2,7,0,1,0,60,15,8,22,7,2,54,101.58,1996.1
