"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Nanashi",2.31,6.5,7.1,9.9,1,2,2,4,1,30,9,6,15,3,3,54,66.88,2058.4
"MicroDiamond",1.03,1.50,7.00,5.70,2,2,0,0,3,43,8,2,11,3,1,45,29.73,1894.4285714285713
"thechipsta",4.95,9.90,4.20,10.90,1,0,7,2,0,60,9,12,21,1,5,60,64.15,2028.7
"Aetherion",1.90,4.60,6.20,7.20,5,2,0,2,1,20,1,7,14,1,1,52,61.88,1816.8
"UpsetSloth",2.69,6.50,5.10,7.20,0,1,1,3,5,30,6,5,13,5,3,54,55.17,1992.8
"Rosen Shock",1.76,9.10,8.80,6.40,2,8,0,0,0,40,0,13,14,2,2,52,107.33,1914.2
"Sotofu",2.21,8.20,7.80,9.00,4,6,0,0,0,40,0,7,13,1,1,57,83.27,2316.9
"TediousStar",1.48,4.80,5.40,3.20,7,3,0,0,0,30,6,13,16,2,1,39,96.62,1830.3
"Rugved",2.15,7.30,8.90,11.80,2,2,1,1,4,40,3,5,18,4,3,61,74.40,2032.8
"Jmack13",2.66,8.60,7.00,10.00,2,4,1,3,0,60,0,16,16,0,1,51,143.30,2092.5
"Loushangdebiaoge",2.53,3.80,5.50,10.10,6,3,1,0,0,50,4,4,24,1,3,46,145.60,1949.9
"Alexsaur22",2.22,3.00,5.50,9.20,0,0,1,6,3,30,4,8,13,1,1,49,36.58,1929.6
"DEAD 95",3.00,6.40,5.60,10.40,3,3,3,0,1,60,3,7,16,3,5,48,104.18,2081.2
"Irish Maiden",2.42,1.10,5.50,12.20,0,0,0,0,10,40,25,1,14,5,4,53,55.23,2091.6
"Paramexican",2.68,4.50,3.40,4.60,5,4,0,1,0,50,13,12,10,2,3,38,36.82,1660.2
"Big Barn BEz",2.15,7.90,6.60,6.30,0,5,1,4,0,40,0,8,11,1,3,57,79.08,1827.3
"Rura",2.73,3.30,4.50,9.00,1,0,2,4,3,30,2,3,16,3,2,47,24.83,1943.4
"rosborn",2.11,6.20,7.30,9.20,6,0,4,0,0,30,4,3,12,3,4,54,25.80,1953.4
"VisionR",2.02,8.00,8.10,8.40,3,1,3,3,0,50,13,12,12,2,8,51,36.33,1875.8
"onyl1",2.78,7.90,4.90,5.70,0,6,0,4,0,50,50,8,17,7,3,52,67.10,1789.4
"Blomnqvist",2.70,8.50,5.30,5.80,2,0,2,6,0,50,7,18,16,4,4,55,101.28,1896.2
"That1Teacher",2.51,0.70,5.90,14.10,0,2,0,1,7,30,23,0,14,2,2,59,49.62,2065.4
"LuckeCharms",3.11,5.50,5.50,11.60,2,3,0,5,0,60,13,18,18,4,6,52,108.08,2105.3
"bambooforest12",3.70,6.30,4.40,10.00,1,8,0,0,1,70,4,14,20,6,6,55,143.07,1898.4
"Megarice",2.22,2.30,5.80,10.60,1,0,0,2,7,50,6,9,11,1,1,52,34.90,1779.8
"Pandilly",3.32,6.20,4.70,9.40,0,8,2,0,0,50,1,6,15,3,1,52,198.80,2109.9
