"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Chelliie",1.62,5.7,9.4,9.5,1,4,2,1,2,30,6,2,16,3,3,42,61.38,2157.7
"Secret Sweater",1.91,5.90,6.80,7.10,2,6,2,0,0,50,0,5,18,0,2,40,100.78,1826.2
"koreanproo",3.06,8.90,5.40,7.60,4,0,5,1,0,50,0,11,19,1,0,48,80.45,1856.3
"98 joe",1.44,8.20,12.30,9.50,4,4,0,2,0,50,1,13,26,2,4,35,128.18,2598.9
"daxrebel182",2.81,2.90,6.90,16.50,0,0,0,1,9,40,11,7,15,1,5,54,148.37,2051.1
"Combat264",3.35,3.10,6.00,17.00,0,0,0,1,9,50,0,9,31,6,3,55,14.42,2105.8
"Zola x3",2.93,1.20,4.10,10.80,0,0,0,0,10,30,0,5,13,1,1,47,104.93,1829.5
"redfire200",2.98,7.00,6.10,11.20,2,1,1,2,4,50,3,7,24,3,2,50,77.33,2048.8
"SimplyOscar",4.09,9.50,3.50,4.80,0,0,3,7,0,40,0,11,7,0,3,53,16.80,1996.5
"DuffMasters",2.76,4.50,4.50,7.90,6,3,0,0,0,67,11,16,16,1,1,37,93.23,2231.4444444444443
"mexicaneaner69",3.45,4.90,5.10,12.70,0,0,0,4,6,50,7,6,16,3,3,45,313.63,2073.1
"belcoot",1.95,3.90,9.30,14.20,0,0,1,0,9,50,0,11,25,1,4,41,38.82,2461.3
"gustavarcus",1.98,5.50,5.60,5.60,7,2,0,1,0,40,0,6,14,6,1,40,73.30,1881.9
"Jeonginator",0.45,2.10,10.20,2.50,4,1,3,1,1,30,0,7,13,1,1,18,54.53,1778.2
"KlazzifiedKing",2.78,6.50,5.90,9.90,2,2,2,0,4,50,8,13,17,6,1,48,26.10,2043.2
"cuzzin",1.91,6.00,9.40,12.00,0,0,3,4,3,50,11,5,16,0,2,47,36.55,2157.2
"MrTheToplyn",2.77,4.10,7.10,15.60,0,0,1,4,5,40,0,4,15,0,2,47,219.62,2237.8
"Coutgandi",1.63,6.50,9.00,8.20,2,4,1,3,0,50,0,13,15,1,0,42,72.17,1966.9
"Callisto Jupiter",1.64,7.40,8.10,5.90,0,1,2,7,0,40,0,14,10,2,1,41,38.25,1733.6
"suchAthug1249",2.35,6.50,7.20,10.40,1,5,2,1,1,40,0,9,18,1,3,47,108.78,1981.3
"Xerogodz43",2.49,10.50,8.90,11.70,0,3,1,6,0,30,1,9,22,2,5,49,63.67,2225.4
"Jmess",2.15,7.30,7.20,8.20,3,0,6,1,0,40,0,7,16,1,0,52,109.05,1862.9
"thePoIarBear",2.12,2.20,7.80,14.30,3,0,0,1,6,40,9,7,9,1,1,48,115.48,2086.2
"Caid",2.47,12.60,8.80,9.10,0,5,2,3,0,60,0,12,29,1,5,55,79.08,2220.9
"NAJPANKAEW",1.75,10.30,10.60,8.20,2,0,4,4,0,40,1,6,13,1,2,48,83.10,1985.1
"tornado3585",2.16,8.10,8.00,9.20,5,2,0,3,0,30,0,6,14,1,1,49,70.38,2172
"The Honored Teem",2.80,12.00,7.40,8.70,2,3,1,4,0,10,2,7,15,2,1,51,61.87,2223.1
"alphadog192",2.07,0.30,1.40,2.60,0,0,0,1,2,33,2,0,2,1,0,54,15.92,1641
"kuckers",1.67,8.30,9.70,7.90,3,0,7,0,0,40,0,10,16,0,1,44,54.87,2081.7
"charmingthomas",2.08,6.40,7.50,9.20,0,0,5,5,0,40,2,7,14,0,2,51,32.97,2255
"Mexcrusader",1.62,5.70,7.10,5.80,2,8,0,0,0,70,0,13,24,3,1,31,63.23,2022.1
"Centricus",2.51,9.10,8.70,12.70,1,3,4,0,2,30,2,3,12,0,0,47,46.70,2182.8
"GamingRaiju",3.02,7.50,5.70,9.70,2,3,0,3,2,50,0,9,22,4,2,51,80.57,2263.5
"Pickupmypooptoo",1.46,2.70,6.50,6.80,0,0,4,6,0,30,0,4,16,3,2,38,24.50,1970.6
"Bacon777",2.28,8.80,7.10,7.40,0,1,2,5,2,30,3,9,14,3,1,51,44.07,2036.4
"Gramer",1.98,6.80,8.50,10.00,3,4,1,1,1,50,0,11,13,4,7,46,58.38,1973.2
"C69 NotSoSneaky",1.48,5.30,9.20,8.30,0,6,1,0,3,50,0,2,14,1,1,37,58.80,2127
"pee on yo face",2.28,5.70,6.00,8.00,2,7,0,0,1,40,0,11,22,5,1,41,125.03,2059.2
"KingoDarkness",2.10,7.90,7.70,8.30,4,0,4,0,1,56,0,3,14,3,0,49,51.48,1994.6666666666667
