"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"omgcrayolamarker",2.14,3.5,6.5,10.4,0,2,2,2,4,30,19,21,164,1,1,18,3,1,52,121719,253146,56230,10094,102613,1974,0,4610,4407,3747,6976,14695,47095,31.5,161,4557,58659,64584,25,327,27513,0,0,0,0,0,20564,62795,9.5,1,7455,27801,78672,5.5,137,16705
"TylerM xDD",1.91,4.60,6.50,7.80,0,3,2,1,4,50,1, 28, 123, 5, 0, 15,0,1,52, 135549, 165872, 25185, 56.05, 99544,1796.9,0,3460,4541,1865,8103,20715,10883,74.00,168,1986,24850,36024,50.00,210,2625,0,0,0,0,0,35121,61906,5.67,159,15837,54863,57059,5.00,163,4737
"Alinabot",2.61,6.50,6.20,9.70,5,0,2,0,3,60,10, 29, 149, 9, 3, 14,8,2,53, 199795, 276379, 89291, 78.40, 132148,1958.8,9126,4427,0,0,6035,0,0,0,0,0,54520,46739,58.00,430,1967,109365,145773,59.40,1071,29045,0,0,0,0,0,35910,83867,8.33,156,58279
"kachinba",2.00,7.00,7.40,7.80,3,0,3,4,0,50,0, 27, 96, 14, 6, 17,2,4,46, 223354, 230691, 19602, 161.00, 125752,2062.8,5395,7541,0,7692,0,92900,82277,54.25,655,8033,90474,95895,44.00,506,9403,39980,52519,60.00,512,2166,0,0,0,0,0,0,0,0,0,0
"Zjx Victor",1.69,4.30,7.20,7.90,3,2,0,5,0,20,0, 5, 83, 11, 1, 10,1,1,47, 152099, 238281, 27933, 60.37, 104396,1918.4,5132,0,3939,10113,0,77644,103161,49.80,866,14717,0,0,0,0,0,45438,70013,40.33,339,3447,29017,65107,1.00,123,9769,0,0,0,0,0
"pi314159",1.81,5.60,8.40,9.60,5,2,1,1,1,30,14, 26, 133, 10, 2, 17,4,4,53, 194797, 295860, 49120, 47.32, 108536,1908.8,10947,1560,3429,1547,1605,13618,15696,28.00,80,1570,24591,27413,43.00,89,8902,120085,187817,49.20,816,19230,31937,50780,5.50,90,11703,4566,14154,1.00,10,7715
"JabberW0ck",4.46,6.10,3.70,10.40,2,6,0,0,2,70,14, 26, 146, 11, 2, 20,0,3,53, 177875, 269270, 76107, 122.43, 132307,2145.8,4142,0,12462,0,4854,0,0,0,0,0,0,0,0,0,0,45028,52243,43.00,431,9436,100114,182392,5.17,470,64566,32733,34635,2.00,101,2105
"Puck689",2.94,6.80,4.80,7.30,5,3,2,0,0,40,0, 16, 122, 5, 2, 14,2,4,54, 181427, 264714, 56137, 60.00, 112464,2042.2,9726,5572,5124,0,0,0,0,0,0,0,60620,57070,41.50,365,4254,78112,143003,33.20,525,37665,42695,64641,2.00,110,14218,0,0,0,0,0
"Fryingpanboy",3.41,0.80,4.60,14.90,0,0,0,0,10,80,0, 15, 129, 5, 0, 26,6,6,51, 42304, 133334, 265027, 24.35, 102436,2103.8,0,0,0,0,21038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42304,133334,1.90,128,265027
"mania3x",5.59,10.20,3.20,7.70,0,8,0,2,0,100,2, 31, 73, 14, 2, 25,0,0,56, 191113, 201893, 50262, 176.15, 121217,1767.4,0,0,14123,3551,0,44082,30514,58.00,291,6132,0,0,0,0,0,0,0,0,0,0,147031,171379,2.13,474,44130,0,0,0,0,0
"BIG BIG XI",1.63,4.40,6.80,6.70,2,1,4,1,2,30,2, 23, 111, 8, 1, 9,3,2,45, 135652, 231994, 39409, 39.43, 107844,1918.1,2864,8001,1935,2088,4293,17512,20131,45.00,191,3711,67520,80996,50.75,579,7167,15689,33739,33.00,212,2565,13029,30137,3.00,68,5782,21902,66991,11.00,119,20184
"MightyMouseMatt",1.60,5.70,8.10,7.30,0,3,4,2,1,20,0, 24, 58, 2, 1, 13,1,1,42, 159008, 244366, 46393, 99.40, 114443,2025,0,7754,6809,3652,2035,26537,35960,40.00,267,3732,74280,51846,45.50,522,8517,0,0,0,0,0,50512,136399,3.00,152,24766,7679,20161,3.00,26,9378
"FurryFluffyFoxy",2.54,4.40,4.80,7.80,2,5,0,2,1,60,6, 36, 160, 6, 2, 18,4,2,46, 137003, 259210, 77558, 76.25, 108992,1901.4,3854,0,9986,3075,2099,28149,26285,57.00,293,4103,0,0,0,0,0,35643,54643,56.00,328,17584,67867,161558,1.20,388,48258,5344,16724,5.00,15,7613
"DaBaier",4.00,1.80,3.90,13.80,1,0,0,1,8,100,21, 28, 122, 11, 1, 26,6,3,46, 130254, 152261, 15648, 65.00, 109017,1878.7,2043,0,0,1903,14841,16475,14504,52.00,180,2922,0,0,0,0,0,23582,26448,64.00,205,6700,0,0,0,0,0,90197,111309,4.13,326,6026
"Finessen God",3.71,9.30,5.10,9.60,1,1,1,6,1,70,0, 6, 79, 20, 3, 16,0,4,58, 267032, 194132, 26772, 98.18, 120621,1810.1,1766,1279,1653,11372,2031,229441,129310,53.50,1074,18592,0,0,0.00,0,0,22302,29901,39.00,124,3898,158,862,5.00,0,20,15131,34059,14.00,44,4262
"Pepper Eater",2.77,8.50,6.00,8.10,4,4,1,1,0,50,11, 6, 123, 10, 1, 19,1,3,53, 201513, 250158, 31363, 62.80, 120829,1880.9,7060,2444,7709,1596,0,17979,16116,56.00,144,2031,20442,25086,63.00,169,2594,83302,90437,45.25,501,11309,79790,118519,25.75,154,15429,0,0,0,0,0
"wingdagger7",2.61,6.10,5.10,7.20,0,2,5,3,0,40,6, 18, 72, 16, 7, 13,3,3,52, 178040, 297655, 100652, 142.97, 131840,2002.4,0,9989,5347,4688,0,29639,36090,57.67,475,6706,126510,144773,63.40,1086,45621,0,0,0,0,0,21891,116792,0.00,206,48325,0,0,0,0,0
"PandaTV XIA",1.91,7.50,7.80,7.40,9,0,1,0,0,40,1, 13, 63, 15, 2, 16,0,4,50, 202352, 307846, 34788, 82.30, 117390,2015.2,18120,2032,0,0,0,0,0,0,0,0,26096,31649,47.00,116,4388,176256,276197,41.56,1350,30400,0,0,0,0,0,0,0,0,0,0
"wbh520",2.85,1.00,4.10,10.70,0,1,0,1,8,40,0, 18, 117, 0, 0, 15,2,3,43, 68137, 237267, 29614, 50.65, 93408,2020.1,0,0,1426,1950,16825,6744,19201,10.00,61,4390,0,0,0,0,0,0,0,0,0,0,108,382,2.00,0,80,61285,217684,13.25,412,25144
"Vexdra",2.78,5.30,5.10,8.90,0,3,0,6,1,40,8, 10, 64, 5, 0, 18,2,3,46, 147440, 198844, 88400, 48.98, 119029,2038,0,0,5706,12203,2471,99030,103948,55.67,1042,14775,0,0,0,0,0,0,0,0,0,0,46510,86624,2.00,246,28308,1900,8272,0.00,1,45317
"PaPaPa Feeder",2.21,6.80,7.00,8.70,2,8,0,0,0,50,0, 10, 62, 8, 4, 18,1,3,46, 173647, 367067, 120779, 61.35, 120923,1937.2,2924,0,16448,0,0,0,0,0,0,0,0,0,0,0,0,21914,42207,32.50,218,6357,151733,324860,3.13,609,114422,0,0,0,0,0
"Clown Baby OG",2.05,6.40,6.00,5.90,3,0,3,4,0,40,14, 13, 84, 3, 0, 17,3,4,49, 215821, 196008, 26398, 34.38, 106256,1833.7,4888,6021,0,7428,0,81697,62391,53.75,571,11238,86555,63912,49.67,394,6280,47569,69705,52.00,441,8880,0,0,0,0,0,0,0,0,0,0
"Snoop Dongg",2.56,2.60,6.10,13.00,3,0,0,1,6,50,6, 20, 107, 6, 2, 18,0,3,47, 123185, 258579, 56772, 56.38, 104351,1949.6,5762,0,0,1251,12483,11755,6538,72.00,149,1323,0,0,0,0,0,57002,97819,42.67,373,28098,0,0,0,0,0,54428,154222,6.17,135,27351
"Titlenamehere",3.24,5.60,4.10,7.70,5,1,4,0,0,50,14, 32, 124, 20, 1, 19,1,5,48, 178562, 267029, 41638, 85.50, 124450,1980.1,9526,7665,2610,0,0,0,0,0,0,0,75076,68488,53.50,675,9383,81740,146405,56.80,995,23268,21746,52136,4.00,80,8987,0,0,0,0,0
"Magikarpolio",1.53,4.80,6.80,5.60,5,0,4,0,1,20,0, 12, 68, 1, 1, 10,1,5,46, 106715, 209586, 17682, 20.95, 98896,2038,8661,9871,0,0,1848,0,0,0,0,0,58266,91308,35.00,410,11302,44232,95916,34.20,474,5421,0,0,0,0,0,4217,22362,4.00,12,959
"Lulö",1.45,4.50,7.60,6.50,3,0,6,0,1,60,0, 19, 113, 4, 1, 15,2,3,34, 175166, 247365, 16549, 24.37, 114042,2067.3,6651,11765,0,0,2257,0,0,0,0,0,101546,104035,48.67,821,2462,64737,127788,48.67,483,13736,0,0,0,0,0,8883,15542,5.00,52,351
"BosnianxBeast",1.42,6.20,7.60,4.60,4,1,5,0,0,30,0, 6, 73, 13, 1, 12,0,0,41, 191047, 241623, 30048, 24.65, 105058,1772,7143,8951,1626,0,0,0,0,0,0,0,123552,98869,50.60,691,9512,57066,117583,45.50,525,12988,10429,25171,0.00,55,7548,0,0,0,0,0
"Cody Banks",3.43,5.00,4.40,10.10,1,3,2,1,3,60,18, 25, 102, 2, 2, 15,3,8,50, 164051, 229707, 63510, 100.25, 122592,2131.2,2135,4827,6465,2572,5313,35265,32545,63.00,239,6309,48848,38050,44.50,333,9578,7907,23808,45.00,172,1625,51762,97564,0.33,285,40183,20269,37740,1.33,35,5815
"Waw",1.14,5.50,10.60,6.60,0,1,3,6,0,30,0, 18, 76, 8, 2, 13,1,4,43, 199677, 265400, 30278, 30.60, 120951,2030.5,0,6987,1246,12072,0,102784,148526,47.83,879,18050,92006,97489,58.67,657,5283,0,0,0,0,0,4887,19385,5.00,62,6945,0,0,0,0,0
"zJessez",1.84,6.80,6.90,5.90,2,1,1,2,4,30,5, 11, 145, 13, 0, 17,2,2,45, 179075, 254464, 46695, 229.93, 118944,2111.3,4546,2669,3309,3037,7552,30234,30761,51.50,281,4237,25238,21841,47.00,194,4072,47793,56051,50.50,338,5194,32115,50095,0.00,84,10987,43695,95716,6.75,133,22205
"anaBROLICus",1.98,9.90,9.70,9.30,3,2,3,2,0,50,0, 16, 110, 12, 2, 23,1,4,52, 299318, 304778, 39151, 73.53, 141353,2208.3,6327,6752,4296,4708,0,102740,54262,55.50,445,6532,85774,85548,56.00,583,11496,60926,109849,46.33,439,10920,49878,55119,7.50,67,10203,0,0,0,0,0
"krushee",2.45,5.70,6.00,9.00,2,3,0,0,5,40,0, 4, 66, 5, 0, 16,4,3,50, 135447, 238067, 54663, 61.73, 104516,1895.2,4307,0,4304,0,10341,0,0,0,0,0,0,0,0,0,0,55585,40781,48.50,273,4011,18029,59305,1.00,148,16695,61833,137981,6.00,160,33957
"778582",2.11,2.20,7.50,13.60,1,1,0,1,7,40,28, 65, 254, 5, 2, 19,1,4,48, 115957, 246974, 33382, 113.78, 106870,2067.4,1609,0,2785,2105,14175,12819,27439,27.00,78,3113,0,0,0,0,0,11711,19501,58.00,145,1135,13897,27367,6.00,1,1170,77530,172667,7.57,279,27964
