"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"eXiLe xPsychotic",1.72,7.2,8.8,7.9,1,1,3,3,2,40,0,9,8,2,2,56,43.93,1784.5
"YouGottaBeKitten",3.85,1.50,4.10,14.30,0,0,0,0,10,60,18,2,13,4,6,60,26.63,2019.6
"JTweak",5.52,9.20,4.20,14.00,0,0,8,2,0,60,31,13,20,1,0,66,95.32,2357.1
"binchen",2.89,1.60,5.30,13.70,0,0,0,0,10,50,11,2,22,2,3,52,72.40,2077.7
"Strat0sfear",5.15,13.20,4.00,7.40,0,8,0,0,0,75,13,16,19,4,4,75,198.43,1953.375
"mpfiv",3.04,5.30,5.00,9.90,0,8,2,0,0,60,6,6,17,3,5,52,222.92,2014.3
"lolitspetey",2.22,6.00,6.40,8.20,5,0,4,1,0,50,3,11,15,0,5,53,93.15,2114.8
"Leeroooy",2.27,2.10,4.50,8.10,0,5,0,0,5,20,17,5,9,3,1,59,74.10,1841.4
"tehnoob4life",2.72,2.40,4.70,10.40,0,1,1,1,7,60,7,1,15,1,3,52,55.78,1890.4
"mikeal13",1.78,4.40,8.30,10.40,5,5,0,0,0,60,11,9,15,5,10,45,139.58,2147.6
"Mcdurbs22",2.40,4.80,4.80,6.70,4,5,0,1,0,60,15,9,19,1,5,45,98.77,2038.7
"itskevinwin",1.84,8.60,8.50,7.00,1,4,2,3,0,0,5,7,12,3,4,56,112.12,2067.4
"inyourmind11",1.77,3.40,7.70,10.20,3,0,2,0,5,50,7,2,14,2,2,48,34.67,1929.8
"ImmortalFenix00",2.32,4.20,4.40,6.00,0,3,7,0,0,60,6,12,15,5,2,44,59.07,1703.7
"YJK YoGi",1.43,4.90,7.60,6.00,0,3,0,7,0,30,7,5,13,2,5,50,50.73,1928.8
"Liu Yu Chen Jeff",2.28,8.10,6.90,7.60,0,8,1,0,1,30,14,7,13,1,5,62,122.87,1904.2
"Mgoosk",3.81,9.70,5.30,10.50,1,0,0,9,0,70,1,18,19,3,3,57,208.80,1941.9
"Pandamatt",3.36,9.60,5.30,8.20,0,4,1,4,1,50,1,16,22,4,3,50,143.35,2077.6
"PintoTheCat",2.10,3.00,4.80,7.10,0,1,1,1,7,20,4,3,13,2,2,49,64.22,1861.8
"Glorious Snack",3.17,8.20,5.20,8.30,4,6,0,0,0,70,11,14,17,3,4,47,116.68,2111
"OIy",3.06,13.80,7.10,7.90,1,0,0,8,1,60,0,14,26,2,7,60,70.50,2158.5
"manjoker",3.65,8.40,5.10,10.20,0,0,4,6,0,30,3,14,20,2,5,56,42.03,2236.2
"Pupasaur",2.09,2.70,6.70,11.30,0,0,1,1,8,40,30,10,17,2,4,49,32.93,2019.6
"IX Archangel XI",3.25,8.80,5.10,7.80,3,3,3,1,0,60,15,4,14,0,6,53,62.98,2042
